ID,pos0,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,distance
29009,1,1,6,3,5,5,6,3,3,5,4,2,1,6,4,2,4,4,3,1,2,2,5,6,2
93990,3,1,6,5,4,1,6,2,2,5,4,2,3,5,4,3,6,4,3,6,1,2,5,1,2
173342,4,1,2,2,4,1,6,6,3,5,6,1,3,5,4,2,6,4,3,3,1,2,5,5,2
365030,5,1,6,3,5,1,6,3,2,4,4,2,2,4,4,2,1,3,3,1,6,5,5,6,1
411427,1,1,6,6,1,1,6,6,3,5,4,2,3,5,4,2,4,4,3,3,2,2,5,5,1
494357,1,2,4,4,1,2,6,6,5,3,1,6,5,3,4,2,2,6,3,3,4,1,5,5,2
497335,2,2,4,4,5,1,6,3,3,5,1,6,2,4,4,2,1,1,3,3,6,5,5,6,2
526954,6,1,6,1,6,1,6,1,2,4,4,2,2,4,4,2,5,3,3,5,3,5,5,3,2
841615,3,1,6,5,2,1,6,4,2,3,4,2,5,3,4,5,6,2,3,6,1,4,5,1,2
847868,3,3,6,5,1,1,6,5,1,6,4,2,5,3,4,2,2,2,3,6,4,4,5,1,2
881225,5,4,2,3,1,1,6,6,1,6,6,1,3,5,4,2,4,3,3,4,2,2,5,5,2
984885,5,4,2,3,5,1,6,3,2,6,6,1,2,4,4,1,1,3,3,4,6,5,5,2,2
995769,3,2,4,5,3,1,6,5,6,1,1,2,6,4,4,2,4,3,3,6,2,5,5,1,2
1266419,2,2,4,4,1,1,6,6,6,1,1,6,2,4,4,2,3,3,3,3,5,5,5,5,1
1404041,2,2,4,4,3,1,6,5,5,3,1,6,2,4,4,2,6,6,3,3,1,5,5,1,2
1690017,3,4,2,5,1,1,6,6,1,6,6,1,5,3,4,2,2,3,3,2,4,4,5,5,2
